series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result,series_views
9,NA,Luke,Thompson,30,Civil servant/house and techno DJ,Sheffield,NA,NA,NA,NA,NA
3,NA,Manisha,Parmar,27,Nursery nurse,Leicester,NA,NA,NA,NA,NA
9,NA,Manon,Lagrave,26,Software project manager,London,NA,NA,NA,NA,NA
6,NA,Marie,Campbell,66,Retired,"Auchterarder, Perthshire",NA,NA,NA,NA,NA
4,NA,Mark,Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA,NA
1,NA,Mark,Whithers,48,Bus Driver,South Wales,NA,NA,NA,NA,NA
5,NA,Martha,Collison,17,Student,"Ascot, Berkshire",NA,NA,NA,NA,NA
2,NA,Mary-Anne,Boermans,45,Housewife,"Kidderminster, Worcestershire",NA,NA,NA,NA,NA
6,NA,Mat,Riley,37,Fire fighter,London,NA,NA,NA,NA,NA
10,NA,Michael,Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA,NA,NA,NA
7,NA,Michael,Georgiou,20,Student,Durham,NA,NA,NA,NA,NA
10,NA,Michelle,Evans-Fecci,35,Print shop administrator,"Tenby, Wales",NA,NA,NA,NA,NA
1,NA,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",NA,NA,NA,NA,NA
6,NA,Nadiya,Hussain,30,Full-time mother,Leeds / Luton,NA,NA,NA,NA,NA
5,NA,Nancy,Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",NA,NA,NA,NA,NA
3,NA,Natasha,Stringer,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA,NA
5,NA,Norman,Calder,66,Retired Naval Officer,"Portknockie, Moray",NA,NA,NA,NA,NA
6,NA,Paul,Jagger,49,Prison governor,"Swansea, Wales",NA,NA,NA,NA,NA
8,NA,Peter,Abatan,52,IT programme manager,"Southend, Essex",NA,NA,NA,NA,NA
3,NA,Peter,Maloney,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA,NA
10,NA,Phil,Thorne,56,HGV driver,Rainham,NA,NA,NA,NA,NA
10,NA,Priya,O'Shea,34,Marketing consultant,Leicester,NA,NA,NA,NA,NA
9,NA,Rahul,Mandal,30,Research scientist,Rotherham,NA,NA,NA,NA,NA
7,NA,Rav,Bansal,28,Student support,Erith,NA,NA,NA,NA,NA
5,NA,Richard,Burr,38,Builder,"Mill Hill, London",NA,NA,NA,NA,NA
2,NA,Robert,Billington,25,Photographer,London,NA,NA,NA,NA,NA
4,NA,Robert,Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA,NA
10,NA,Rosie,Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA,NA,NA,NA
9,NA,Ruby,Bhogal,29,Project manager,London,NA,NA,NA,NA,NA
4,NA,Ruby,Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",NA,NA,NA,NA,NA
1,NA,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",NA,NA,NA,NA,NA
3,NA,Ryan,Chong,38,Photographer,Bristol,NA,NA,NA,NA,NA
6,NA,Sandy,Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",NA,NA,NA,NA,NA
3,NA,Sarah-Jane,Willis,28,Vicar's wife,"Bewbush, West Sussex",NA,NA,NA,NA,NA
7,NA,Selasi,Gbormittah,30,Client service associate,London,NA,NA,NA,NA,NA
2,NA,Simon,Blackwell,31,Rugby Coach,Norfolk,NA,NA,NA,NA,NA
8,NA,Sophie,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",NA,NA,NA,NA,NA
8,NA,Stacey,Hart,42,Former school teacher,"Radlett, Hertfordshire",NA,NA,NA,NA,NA
10,NA,Steph,Blackwell,28,Shop assistant,Chester,NA,NA,NA,NA,NA
8,NA,Steven,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",NA,NA,NA,NA,NA
6,NA,Stu,Henshall,35,Professional musician,"Guildford, Surrey",NA,NA,NA,NA,NA
3,NA,Stuart,Marston-Smith,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA,NA
6,NA,Tamal,Ray,29,Trainee anaesthetist,Manchester,NA,NA,NA,NA,NA
9,NA,Terry,Hartill,56,Retired air steward,West Midlands,NA,NA,NA,NA,NA
4,NA,Toby,Waterworth,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA,NA
7,NA,Tom,Gilliford,26,Project engagement manager,Rochdale,NA,NA,NA,NA,NA
8,NA,Tom,Hetherington,29,Architect,Edinburgh,NA,NA,NA,NA,NA
6,NA,Ugnė,Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",NA,NA,NA,NA,NA
2,NA,Urvashi,Roe,40,Head of Marketing,"Enfield, London",NA,NA,NA,NA,NA
7,NA,Val,Stones,66,"Semi-retired, Substitute teacher",Yeovil,NA,NA,NA,NA,NA
3,NA,Victoria,Chester,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA,NA
2,NA,Yasmin,Limbert,43,Childminder,"West Kirby, The Wirral",NA,NA,NA,NA,NA
1,1,Annetha,NA,NA,NA,NA,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",NA,NA,NA
1,1,David,NA,NA,NA,NA,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",NA,NA,NA
1,1,Edd,NA,NA,NA,NA,Caramel Cinnamon and Banana Cake,NA,NA,NA,NA
1,1,Jasminder,NA,NA,NA,NA,Fresh Mango and Passion Fruit Hummingbird Cake,NA,NA,NA,NA
1,1,Jonathan,NA,NA,NA,NA,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,NA,NA,NA
1,1,Lea,NA,NA,NA,NA,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,NA,NA,NA
1,1,Louise,NA,NA,NA,NA,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,NA,NA
1,1,Mark,NA,NA,NA,NA,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,NA,NA
1,1,Miranda,NA,NA,NA,NA,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,NA,NA,NA
1,1,Ruth,NA,NA,NA,NA,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,NA,NA
1,2,Annetha,NA,NA,NA,NA,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,NA,NA,NA
1,2,David,NA,NA,NA,NA,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,NA,NA,NA
1,2,Edd,NA,NA,NA,NA,Oatmeal Raisin Cookie,Pink Macarons,NA,NA,NA
1,2,Jasminder,NA,NA,NA,NA,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,NA,NA,NA
1,2,Jonathan,NA,NA,NA,NA,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,NA,NA,NA
1,2,Louise,NA,NA,NA,NA,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",NA,NA,NA
1,2,Miranda,NA,NA,NA,NA,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,NA,NA,NA
1,2,Ruth,NA,NA,NA,NA,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,NA,NA,NA
1,3,David,NA,NA,NA,NA,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",NA,NA,NA
1,3,Edd,NA,NA,NA,NA,Olive Bread,Tomato and Mozzarella,NA,NA,NA
1,3,Jasminder,NA,NA,NA,NA,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",NA,NA,NA
1,3,Jonathan,NA,NA,NA,NA,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",NA,NA,NA
1,3,Miranda,NA,NA,NA,NA,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",NA,NA,NA
1,3,Ruth,NA,NA,NA,NA,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",NA,NA,NA
1,4,David,NA,NA,NA,NA,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",NA,NA,NA
1,4,Edd,NA,NA,NA,NA,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",NA,NA,NA
1,4,Jasminder,NA,NA,NA,NA,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",NA,NA,NA
1,4,Miranda,NA,NA,NA,NA,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",NA,NA,NA
1,4,Ruth,NA,NA,NA,NA,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",NA,NA,NA
1,5,Edd,NA,NA,NA,NA,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",NA,NA,NA
1,5,Jasminder,NA,NA,NA,NA,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",NA,NA,NA
1,5,Miranda,NA,NA,NA,NA,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",NA,NA,NA
1,5,Ruth,NA,NA,NA,NA,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",NA,NA,NA
1,6,Edd,NA,NA,NA,NA,Cinnamon and Banana Cake,NA,NA,NA,NA
1,6,Miranda,NA,NA,NA,NA,Lemon Cupcake,Eliminated after signature,NA,NA,NA
1,6,Ruth,NA,NA,NA,NA,"Mint, Ginger and Blackberry Cake",NA,NA,NA,NA
2,1,Ben,NA,NA,NA,NA,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,NA,NA,NA
2,1,Holly,NA,NA,NA,NA,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,NA,NA,NA,NA
2,1,Ian,NA,NA,NA,NA,Apple and Cinnamon Cupcakes,NA,NA,NA,NA
2,1,Janet,NA,NA,NA,NA,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,NA,NA,NA
2,1,Jason,NA,NA,NA,NA,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,NA,NA,NA,NA
2,1,"""Jo""",NA,NA,NA,NA,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA,NA
2,1,Keith,NA,NA,NA,NA,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,NA,NA,NA
2,1,Mary-Anne,NA,NA,NA,NA,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,NA,NA,NA
2,1,Robert,NA,NA,NA,NA,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,NA,NA,NA
2,1,Simon,NA,NA,NA,NA,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,NA,NA,NA
2,1,Urvashi,NA,NA,NA,NA,Cherry Blossom CupcakesJapanese Lime Cupcakes,NA,NA,NA,NA
2,1,Yasmin,NA,NA,NA,NA,Cardamom and Pomegranate Cupcakes,NA,NA,NA,NA
2,2,Ben,NA,NA,NA,NA,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,NA,NA,NA
2,2,Holly,NA,NA,NA,NA,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,NA,NA,NA
2,2,Ian,NA,NA,NA,NA,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",NA,NA,NA,NA
2,2,Janet,NA,NA,NA,NA,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,NA,NA,NA
2,2,Jason,NA,NA,NA,NA,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,NA,NA,NA
2,2,"""Jo""",NA,NA,NA,NA,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA,NA
2,2,Mary-Anne,NA,NA,NA,NA,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,NA,NA,NA
2,2,Robert,NA,NA,NA,NA,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",NA,NA,NA
2,2,Simon,NA,NA,NA,NA,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",NA,NA,NA
2,2,Urvashi,NA,NA,NA,NA,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,NA,NA,NA
2,2,Yasmin,NA,NA,NA,NA,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,NA,NA,NA
2,3,Ben,NA,NA,NA,NA,"Walnut, Raisin and Rosemary Loaf",NA,NA,NA,NA
2,3,Holly,NA,NA,NA,NA,Picnic Loaf,Stilton and Walnut Rolls,NA,NA,NA
2,3,Ian,NA,NA,NA,NA,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,NA,NA,NA
2,3,Janet,NA,NA,NA,NA,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,NA,NA,NA
2,3,Jason,NA,NA,NA,NA,Cheese and Onion Tear and Share Loaf,NA,NA,NA,NA
2,3,"""Jo""",NA,NA,NA,NA,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",NA,NA,NA,NA
2,3,Mary-Anne,NA,NA,NA,NA,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,NA,NA,NA
2,3,Robert,NA,NA,NA,NA,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,NA,NA,NA
2,3,Urvashi,NA,NA,NA,NA,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,NA,NA,NA
2,3,Yasmin,NA,NA,NA,NA,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",NA,NA,NA
2,4,Ben,NA,NA,NA,NA,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,NA,NA,NA
2,4,Holly,NA,NA,NA,NA,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",NA,NA,NA
2,4,Janet,NA,NA,NA,NA,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",NA,NA,NA
2,4,Jason,NA,NA,NA,NA,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",NA,NA,NA
2,4,"""Jo""",NA,NA,NA,NA,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA,NA
2,4,Mary-Anne,NA,NA,NA,NA,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,NA,NA,NA
2,4,Robert,NA,NA,NA,NA,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,NA,NA,NA
2,4,Yasmin,NA,NA,NA,NA,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,NA,NA,NA
2,5,Holly,NA,NA,NA,NA,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,NA,NA,NA
2,5,Janet,NA,NA,NA,NA,Chicken and Chestnut Pie,Rhubarb Meringue Pie,NA,NA,NA
2,5,Jason,NA,NA,NA,NA,Brown Down Chicken Pie,Plum Meringue Pie,NA,NA,NA
2,5,"""Jo""",NA,NA,NA,NA,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA,NA
2,5,Mary-Anne,NA,NA,NA,NA,Chicken and Bacon Pie,Midnight Meringue,NA,NA,NA
2,5,Robert,NA,NA,NA,NA,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,NA,NA,NA
2,5,Yasmin,NA,NA,NA,NA,Family Fish Pie,Peach and Raspberry Meringue Pie,NA,NA,NA
2,6,Holly,NA,NA,NA,NA,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,NA,NA,NA
2,6,Janet,NA,NA,NA,NA,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,NA,NA,NA
2,6,"""Jo""",NA,NA,NA,NA,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA,NA
2,6,Mary-Anne,NA,NA,NA,NA,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,NA,NA,NA
2,6,Yasmin,NA,NA,NA,NA,Baked Amaretto Cheesecake,Rose Croquembouche,NA,NA,NA
2,7,Holly,NA,NA,NA,NA,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",NA,NA,NA
2,7,Janet,NA,NA,NA,NA,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,NA,NA,NA
2,7,"""Jo""",NA,NA,NA,NA,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA,NA
2,7,Mary-Anne,NA,NA,NA,NA,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,NA,NA,NA
2,8,Holly,NA,NA,NA,NA,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,NA,NA,NA
2,8,"""Jo""",NA,NA,NA,NA,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA,NA
2,8,Mary-Anne,NA,NA,NA,NA,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,NA,NA,NA
3,1,Brendan,NA,NA,NA,NA,"Plum, Sour Cherry & Walnut",NA,NA,NA,NA
3,1,Cathryn,NA,NA,NA,NA,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,NA,NA,NA
3,1,Danny,NA,NA,NA,NA,"Plum, Ginger & Orange",NA,NA,NA,NA
3,1,James,NA,NA,NA,NA,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",NA,NA,NA
3,1,John,NA,NA,NA,NA,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,NA,NA,NA
3,1,Manisha,NA,NA,NA,NA,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,NA,NA,NA
3,1,Natasha,NA,NA,NA,NA,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,NA,NA,NA
3,1,Peter,NA,NA,NA,NA,"Pear, Muscat & Chocolate",Jubilee Cake,NA,NA,NA
3,1,Ryan,NA,NA,NA,NA,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,NA,NA,NA
3,1,Sarah-Jane,NA,NA,NA,NA,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,NA,NA,NA
3,1,Stuart,NA,NA,NA,NA,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,NA,NA,NA
